,tweets,id,language,len,date,source,likes,retweets,sentiment
66,A race against the #coronavirus! Seven Chinese medical experts have been working in Cambodia for more than a week t… https://t.co/Ow21I5xpFj,1244557054762606594,en,140,2020-03-30 09:28:19,China Xinhua News,287,65,0.16666666666666666
67,"Watch the #coronavirus rumor buster to stay safe and stay away from #rumors
Source: #WHO https://t.co/hj2jQDDZch",1244553544075628545,en,112,2020-03-30 09:14:22,China Xinhua News,107,62,0.5
68,A Bolivian girl living in Beijing has been volunteering in her community to help epidemic prevention and control si… https://t.co/9SOoVjYZma,1244551427638222849,en,140,2020-03-30 09:05:57,China Xinhua News,55,22,0.0
69,"As the situation of epidemic prevention and control is improving, the International Grand Bazaar in northwest China… https://t.co/icPdZ6D942",1244547191550562306,en,140,2020-03-30 08:49:07,China Xinhua News,59,21,0.25
70,"A passenger train derailed in central China's Hunan Province on Monday, injuring more than 20 people… https://t.co/OyOQXZjzHJ",1244545912510099457,en,125,2020-03-30 08:44:02,China Xinhua News,31,20,0.25
71,Facility for the first highway bridge connecting China and Russia across the Heilongjiang River has resumed constru… https://t.co/hq5c52CAa8,1244544915779891200,en,140,2020-03-30 08:40:05,China Xinhua News,18,5,0.25
72,"Breathtaking sunset over Fairy Lake in Xinyu, China #AmazingChina https://t.co/0Ja4zQMUu6",1244542239482597377,en,89,2020-03-30 08:29:27,China Xinhua News,27,6,1.0
73,"A passenger train derailed in central China's Hunan Province on Monday, injuring more than 20 people, local authori… https://t.co/FWOdGVCfVb",1244540581067382784,en,140,2020-03-30 08:22:51,China Xinhua News,90,38,0.16666666666666666
74,"Your lastest Monday Asia-Pacific #COVID19 news in one pack:https://t.co/ANiIVhv58z
-- COVID-19 cases in Australia e… https://t.co/rGB4NgHnpQ",1244540104011440130,en,140,2020-03-30 08:20:57,China Xinhua News,20,6,0.0
75,"10 times more efficient! Robots are helping zap #coronavirus in hospitals in Wuhan, China #COVID19 https://t.co/WHehx5r0QR",1244539705770688512,en,122,2020-03-30 08:19:22,China Xinhua News,71,30,0.5
76,Driverless sweepers have been put into use to clean and disinfect key areas at 12 hospitals designated for COVID-19… https://t.co/Va1uVetwzy,1244539175975542785,en,140,2020-03-30 08:17:16,China Xinhua News,187,65,0.18333333333333335
77,#Aperture24 View the world around the clock https://t.co/Shl5ZX8XG8 https://t.co/R3iDjAqbAw,1244524731346219010,en,91,2020-03-30 07:19:52,China Xinhua News,29,4,0.0
78,"Collective global efforts and a ""genuine focus"" on int'l cooperation are essential to winning the battle against… https://t.co/zLBFiDiiLf",1244524531072421889,en,137,2020-03-30 07:19:05,China Xinhua News,22,8,0.225
79,"- A passenger train derailed in central China's Hunan Province;
- Rescuers are already on site;
- The number of cas… https://t.co/mYLlT3HW8E",1244521596900917248,en,140,2020-03-30 07:07:25,China Xinhua News,89,36,0.0
80,"Your Monday Asia-Pacific #COVID19 news in one pack: https://t.co/Rq0rQ7cyW8
-- Japan's cases rise to 1,896, with ca… https://t.co/jfx9PAWL69",1244520726377332738,en,140,2020-03-30 07:03:57,China Xinhua News,34,11,0.0
81,China cuts reverse repo rate by 20 basis points to lower lending costs and offset the economic shock of the COVID-1… https://t.co/pBFq8Td0Ny,1244513625676509185,en,140,2020-03-30 06:35:44,China Xinhua News,68,23,0.2
82,A train derailed in central China's Hunan Province Monday. Casualties are unknown yet. Rescuers are rushing to the… https://t.co/vg10e6m4pz,1244512704431181824,en,139,2020-03-30 06:32:05,China Xinhua News,270,167,-0.05
83,"What experts say about Xi's #G20 speech: https://t.co/brZzkOhQ52
- Good example of a responsible global power
- Chi… https://t.co/9TApJEZwKR",1244501269202350080,en,140,2020-03-30 05:46:38,China Xinhua News,440,139,0.3
84,#BREAKING: A passenger train derails in central China's Hunan Province. Casualties unknown; rescuers rushing to the… https://t.co/POtk9nCmC8,1244497138827980800,en,140,2020-03-30 05:30:14,China Xinhua News,38,26,-0.05
85,"#Coronavirus watch, March 30: https://t.co/bFB9OK0UIh
-US: #COVID19 cases top 140,000
-S.Korea: To provide 4-person… https://t.co/V1Asc7uUSx",1244497046138023937,en,140,2020-03-30 05:29:52,China Xinhua News,25,8,0.5
86,"The death of Uruguay's first #COVID19 victim, a high-profile member of ruling conservative National Party, has sent… https://t.co/PCXsDdaBZr",1244485162949210117,en,140,2020-03-30 04:42:38,China Xinhua News,48,20,0.11166666666666665
87,"Here's your Monday Asia-Pacific #COVID19 news pack https://t.co/BHZZO8WWIW
-- South Korea reports 78 new cases, 9,6… https://t.co/M6a9WspLyh",1244481606875639810,en,140,2020-03-30 04:28:31,China Xinhua News,27,18,0.13636363636363635
88,"Subway stations in Wuhan: Wuhan, a central Chinese city once at the epicenter of the #COVID-19, has resumed its sub… https://t.co/rA5apsxj78",1244480337687674880,en,140,2020-03-30 04:23:28,China Xinhua News,260,62,0.0
89,"Take the long way home - India's migrant laborers struggle to survive under 21-day lockdown
Check our #AsiaAlbum se… https://t.co/oeYwluXmns",1244478296743542786,en,140,2020-03-30 04:15:21,China Xinhua News,117,46,-0.05
90,"Brazil's #COVID19 death toll hits 136, caseload reaches 4,256 https://t.co/FF5CZtMitN https://t.co/x5vDOxo3oq",1244475221051994116,en,109,2020-03-30 04:03:08,China Xinhua News,29,16,0.0
91,Quarantine measures for international arrivals have been tightened in southwest China's Chongqing to further guard… https://t.co/n3v5dKkyNp,1244464987432574976,en,139,2020-03-30 03:22:28,China Xinhua News,56,27,0.0
92,"Some 19 days after detection of first case of novel coronavirus disease, Bolivia reports first death from #COVID19… https://t.co/UDyDOwBuVf",1244464864241672193,en,139,2020-03-30 03:21:59,China Xinhua News,19,7,0.25
