,tweets,id,language,len,date,source,likes,retweets,sentiment
56,"....very often FAKE NEWS. Lamestream Media should be forced to reveal sources, very much as they did in the long ag… https://t.co/9Rb4H1v7nc",1243904684257091585,en,140,2020-03-28 14:16:02,Twitter for iPhone,77020,16906,-0.07800000000000001
57,One of the reasons that Fake News has become so prevalent &amp; far reaching is the fact that corrupt “journalists” bas… https://t.co/36oc9pHSY0,1243878874922041345,en,144,2020-03-28 12:33:28,Twitter for iPhone,168940,38069,-0.3
58,So much of the Lamestream Media is writing and broadcasting stories with facts that are made up and knowingly wrong… https://t.co/aafPqCGVoC,1243873875047448576,en,140,2020-03-28 12:13:36,Twitter for iPhone,198916,44590,-0.15
59,Thank you James! https://t.co/Ku1RMHmeVK,1243762111328784384,en,40,2020-03-28 04:49:29,Twitter for iPhone,123292,26134,0.0
60,RT @LaraLeaTrump: Awesome to see our team still working hard for @realDonaldTrump  — stay safe everybody! 🇺🇸,1243761950108024840,en,108,2020-03-28 04:48:51,Twitter for iPhone,0,6736,0.40277777777777773
61,"RT @TeamTrump: President @realDonaldTrump signs coronavirus relief CARES Act!
 https://t.co/Ine2eOONs2",1243761834131406848,en,102,2020-03-28 04:48:23,Twitter for iPhone,0,7985,0.0
62,"RT @Mike_Pence: Today, President @realDonaldTrump signed into the law the #CARESAct which will help small businesses stay open, help worker…",1243761705303396353,en,140,2020-03-28 04:47:53,Twitter for iPhone,0,7727,-0.125
63,"RT @IvankaTrump: Today President @realDonaldTrump signed the #CARESAct,the single largest economic relief package in 🇺🇸history. POTUS has &amp;…",1243761562197901312,en,144,2020-03-28 04:47:19,Twitter for iPhone,0,8849,0.0642857142857143
64,"RT @TeamTrump: President @realDonaldTrump’s message to Young Americans: You are a citizen of the greatest country anywhere in the world, we…",1243761323105751040,en,140,2020-03-28 04:46:22,Twitter for iPhone,0,10411,0.55
65,RT @IngrahamAngle: They’re not happy because ⁦@realDonaldTrump⁩ is speaking directly to American people during a crisis and getting strong…,1243761280344895489,en,139,2020-03-28 04:46:11,Twitter for iPhone,0,14641,0.01111111111111109
66,RT @GeraldoRivera: Trump-haters clearly  frustrated that the American people-many of whom did not vote for him-approve of the epic job @rea…,1243761045925179393,en,140,2020-03-28 04:45:15,Twitter for iPhone,0,9301,-0.024999999999999988
67,More Fake News! https://t.co/URewvfAUDl,1243759793103306754,en,39,2020-03-28 04:40:17,Twitter for iPhone,43697,11919,0.0
